,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Nom,Pays,Club,%,UCL_JK,won_UCL,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
394,2009,Hertha BSC,Bundesliga,Kaká,BRA,DF,27.0,1981.0,12.0,9.0,913.0,10.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9ca27339/Kaka,,,,,,,,,,2009Kaká,Kaká,Brésil,Milan AC Real Madrid,0.04027777777777778,2009Hertha BSC,0,2009Hertha BSC,2009BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,2009,Milan,Serie A,Kaká,BRA,"FW,MF",26.0,1982.0,31.0,28.0,2558.0,28.4,16.0,9.0,9.0,7.0,8.0,4.0,0.0,0.56,0.32,0.88,0.32,0.63,https://fbref.com/en/players/b2d6ea70/Kaka,,,,,,,,,,2009Kaká,Kaká,Brésil,Milan AC Real Madrid,0.04027777777777778,2009Milan,0,2009Milan,2009BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,2009,Manchester Utd,Premier League,Wayne Rooney,ENG,"FW,MF",22.0,1985.0,30.0,25.0,2226.0,24.7,12.0,7.0,12.0,0.0,0.0,8.0,1.0,0.49,0.28,0.77,0.49,0.77,https://fbref.com/en/players/f07be45a/Wayne-Rooney,,,,,,,,,,2009Wayne Rooney,Wayne Rooney,Angleterre,Manchester United,0.024305555555555556,2009Manchester Utd,0,2009Manchester Utd,2009ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,2009,Chelsea,Premier League,Didier Drogba,CIV,FW,30.0,1978.0,24.0,15.0,1550.0,17.2,5.0,4.0,5.0,0.0,0.0,1.0,0.0,0.29,0.23,0.52,0.29,0.52,https://fbref.com/en/players/945dea33/Didier-Drogba,,,,,,,,,,2009Didier Drogba,Didier Drogba,Côte d’Ivoire,Chelsea,0.022916666666666665,2009Chelsea,0,2009Chelsea,2009CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,2009,Liverpool,Premier League,Steven Gerrard,ENG,MF,28.0,1980.0,31.0,30.0,2621.0,29.1,16.0,9.0,12.0,4.0,5.0,5.0,0.0,0.55,0.31,0.86,0.41,0.72,https://fbref.com/en/players/caeb5442/Steven-Gerrard,,,,,,,,,,2009Steven Gerrard,Steven Gerrard,Angleterre,Liverpool,0.022222222222222223,2009Liverpool,0,2009Liverpool,2009ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2009,Liverpool,Premier League,Fernando Torres,ESP,FW,24.0,1984.0,24.0,20.0,1728.0,19.2,14.0,3.0,14.0,0.0,0.0,1.0,0.0,0.73,0.16,0.89,0.73,0.89,https://fbref.com/en/players/bdf7b97d/Fernando-Torres,,,,,,,,,,2009Fernando Torres,Fernando Torres,Espagne,Liverpool,0.015277777777777777,2009Liverpool,0,2009Liverpool,2009ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,2009,Arsenal,Premier League,Cesc Fàbregas,ESP,"FW,MF",21.0,1987.0,22.0,22.0,1900.0,21.1,3.0,8.0,3.0,0.0,0.0,7.0,0.0,0.14,0.38,0.52,0.14,0.52,https://fbref.com/en/players/33508c78/Cesc-Fabregas,,,,,,,,,,2009Cesc Fàbregas,Cesc Fàbregas,Espagne,Arsenal,0.009027777777777777,2009Arsenal,0,2009Arsenal,2009ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,2009,Wolfsburg,Bundesliga,Edin Džeko,BIH,FW,22.0,1986.0,32.0,29.0,2629.0,29.2,26.0,6.0,26.0,0.0,1.0,4.0,0.0,0.89,0.21,1.1,0.89,1.1,https://fbref.com/en/players/3bb7f478/Edin-Dzeko,,,,,,,,,,2009Edin Džeko,Edin Džeko,Bosnie-Herzégovine,Wolfsburg,0.008333333333333333,2009Wolfsburg,0,2009Wolfsburg,2009BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,2009,Manchester Utd,Premier League,Ryan Giggs,WAL,"FW,MF",34.0,1973.0,28.0,15.0,1509.0,16.8,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.12,0.42,0.54,0.12,0.54,https://fbref.com/en/players/561de8d0/Ryan-Giggs,,,,,,,,,,2009Ryan Giggs,Ryan Giggs,Pays de Galles,Manchester United,0.007638888888888889,2009Manchester Utd,0,2009Manchester Utd,2009WAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,2009,Barcelona,La Liga,Thierry Henry,FRA,FW,30.0,1977.0,29.0,24.0,2112.0,23.5,19.0,7.0,19.0,0.0,0.0,3.0,0.0,0.81,0.3,1.11,0.81,1.11,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,,,,,,,,,,2009Thierry Henry,Thierry Henry,France,FC Barcelone,0.00625,2009Barcelona,1,2009Barcelona,2009FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,2009,Sevilla,La Liga,Luís Fabiano,BRA,FW,27.0,1980.0,26.0,21.0,1786.0,19.8,8.0,0.0,8.0,0.0,0.0,8.0,2.0,0.4,0.0,0.4,0.4,0.4,https://fbref.com/en/players/eaaeef7b/Luis-Fabiano,,,,,,,,,,2009Luís Fabiano,Luís Fabiano,Brésil,Séville FC,0.005555555555555556,2009Sevilla,0,2009Sevilla,2009BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,2009,Real Madrid,La Liga,Iker Casillas,ESP,GK,27.0,1981.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1ddbb0da/Iker-Casillas,,,,,,,,,,2009Iker Casillas,Iker Casillas,Espagne,Real Madrid,0.005555555555555556,2009Real Madrid,0,2009Real Madrid,2009ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,2009,Atlético Madrid,La Liga,Diego Forlán,URU,"FW,MF",29.0,1979.0,33.0,32.0,2807.0,31.2,32.0,5.0,26.0,6.0,7.0,2.0,0.0,1.03,0.16,1.19,0.83,0.99,https://fbref.com/en/players/d87d0dfc/Diego-Forlan,,,,,,,,,,2009Diego Forlán,Diego Forlán,Uruguay,Atlético Madrid,0.004861111111111111,2009Atlético Madrid,0,2009Atlético Madrid,2009URU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,2009,Bordeaux,Ligue 1,Yoann Gourcuff,FRA,MF,22.0,1986.0,37.0,35.0,3086.0,34.3,12.0,11.0,12.0,0.0,0.0,5.0,0.0,0.35,0.32,0.67,0.35,0.67,https://fbref.com/en/players/3acddfdd/Yoann-Gourcuff,,,,,,,,,,2009Yoann Gourcuff,Yoann Gourcuff,France,Girondins de Bordeaux,0.004166666666666667,2009Bordeaux,0,2009Bordeaux,2009FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,2009,Inter,Serie A,Júlio César,BRA,GK,28.0,1979.0,36.0,36.0,3208.0,35.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f619413f/Julio-Cesar,,,,,,,,,,2009Júlio César,Júlio César,Brésil,Inter Milan,0.003472222222222222,2009Inter,0,2009Inter,2009BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,2009,Chelsea,Premier League,Frank Lampard,ENG,MF,30.0,1978.0,37.0,37.0,3257.0,36.2,12.0,10.0,10.0,2.0,2.0,3.0,1.0,0.33,0.28,0.61,0.28,0.55,https://fbref.com/en/players/268df6b1/Frank-Lampard,,,,,,,,,,2009Frank Lampard,Frank Lampard,Angleterre,Chelsea,0.003472222222222222,2009Chelsea,0,2009Chelsea,2009ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,2009,Werder Bremen,Bundesliga,Diego,BRA,MF,23.0,1985.0,21.0,21.0,1880.0,20.9,12.0,4.0,10.0,2.0,3.0,4.0,0.0,0.57,0.19,0.77,0.48,0.67,https://fbref.com/en/players/255a478a/Diego,,,,,,,,,,2009Diego,Diego,Brésil,Werder Brême Juventus,0.0020833333333333333,2009Werder Bremen,0,2009Werder Bremen,2009BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,2009,Valencia,La Liga,David Villa,ESP,"FW,MF",26.0,1981.0,33.0,33.0,2878.0,32.0,28.0,4.0,20.0,8.0,8.0,6.0,1.0,0.88,0.13,1.0,0.63,0.75,https://fbref.com/en/players/ade08a67/David-Villa,,,,,,,,,,2009David Villa,David Villa,Espagne,Valence CF,0.001388888888888889,2009Valencia,0,2009Valencia,2009ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,2009,Chelsea,Premier League,John Terry,ENG,DF,27.0,1980.0,35.0,35.0,3076.0,34.2,1.0,0.0,1.0,0.0,0.0,7.0,2.0,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/68517cfd/John-Terry,,,,,,,,,,2009John Terry,John Terry,Angleterre,Chelsea,0.001388888888888889,2009Chelsea,0,2009Chelsea,2009ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2009,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",25.0,1983.0,25.0,23.0,2071.0,23.0,9.0,8.0,8.0,1.0,2.0,5.0,1.0,0.39,0.35,0.74,0.35,0.7,https://fbref.com/en/players/f61c7c4e/Franck-Ribery,,,,,,,,,,2009Franck Ribéry,Franck Ribéry,France,Bayern Munich,0.0006944444444444445,2009Bayern Munich,0,2009Bayern Munich,2009FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,2009,Barcelona,La Liga,Yaya Touré,CIV,MF,25.0,1983.0,25.0,23.0,1924.0,21.4,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09,https://fbref.com/en/players/c204f844/Yaya-Toure,,,,,,,,,,2009Yaya Touré,Yaya Touré,Côte d’Ivoire,FC Barcelone,0.0006944444444444445,2009Barcelona,1,2009Barcelona,2009CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,2010,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",22.0,1987.0,35.0,30.0,2805.0,31.2,34.0,9.0,33.0,1.0,1.0,3.0,0.0,1.09,0.29,1.38,1.06,1.35,https://fbref.com/en/players/d70ce98e/Lionel-Messi,,,,,,,,,,2010Lionel Messi,Lionel Messi,Argentine,FC Barcelone,"22,65 %",2010Barcelona,0,2010Barcelona,2010ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2010,Barcelona,La Liga,Andrés Iniesta,ESP,MF,25.0,1984.0,29.0,20.0,1905.0,21.2,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.05,0.14,0.19,0.05,0.19,https://fbref.com/en/players/cfd65a29/Andres-Iniesta,,,,,,,,,,2010Andrés Iniesta,Andrés Iniesta,Espagne,FC Barcelone,"17,37 %",2010Barcelona,0,2010Barcelona,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
421,2010,Barcelona,La Liga,Xavi,ESP,MF,29.0,1980.0,34.0,31.0,2797.0,31.1,3.0,13.0,3.0,0.0,0.0,4.0,0.0,0.1,0.42,0.51,0.1,0.51,https://fbref.com/en/players/c1b4188c/Xavi,,,,,,,,,,2010Xavi,Xavi,Espagne,FC Barcelone,"16,48 %",2010Barcelona,0,2010Barcelona,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
422,2010,Inter,Serie A,Wesley Sneijder,NED,MF,25.0,1984.0,26.0,24.0,1928.0,21.4,4.0,5.0,4.0,0.0,0.0,4.0,2.0,0.19,0.23,0.42,0.19,0.42,https://fbref.com/en/players/ad625c12/Wesley-Sneijder,,,,,,,,,,2010Wesley Sneijder,Wesley Sneijder,Pays-Bas,Inter Milan,"14,48 %",2010Inter,0,2010Inter,2010NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,2010,Atlético Madrid,La Liga,Diego Forlán,URU,"FW,MF",30.0,1979.0,33.0,30.0,2550.0,28.3,18.0,5.0,15.0,3.0,5.0,1.0,0.0,0.64,0.18,0.81,0.53,0.71,https://fbref.com/en/players/d87d0dfc/Diego-Forlan,,,,,,,,,,2010Diego Forlán,Diego Forlán,Uruguay,Atlético Madrid,"7,61 %",2010Atlético Madrid,0,2010Atlético Madrid,2010URU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,2010,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",24.0,1985.0,29.0,28.0,2461.0,27.3,26.0,7.0,22.0,4.0,5.0,4.0,2.0,0.95,0.26,1.21,0.8,1.06,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo,,,,,,,,,,2010Cristiano Ronaldo,Cristiano Ronaldo,Portugal,Real Madrid,"3,64 %",2010Real Madrid,0,2010Real Madrid,2010POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,2010,Real Madrid,La Liga,Iker Casillas,ESP,GK,28.0,1981.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1ddbb0da/Iker-Casillas,,,,,,,,,,2010Iker Casillas,Iker Casillas,Espagne,Real Madrid,"2,9 %",2010Real Madrid,0,2010Real Madrid,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
426,2010,Valencia,La Liga,David Villa,ESP,"FW,MF",27.0,1981.0,32.0,31.0,2703.0,30.0,21.0,3.0,18.0,3.0,3.0,5.0,0.0,0.7,0.1,0.8,0.6,0.7,https://fbref.com/en/players/ade08a67/David-Villa,,,,,,,,,,2010David Villa,David Villa,Espagne,Valence CF FC Barcelone,"2,25 %",2010Valencia,0,2010Valencia,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427,2010,Chelsea,Premier League,Didier Drogba,CIV,FW,31.0,1978.0,32.0,31.0,2770.0,30.8,29.0,10.0,28.0,1.0,1.0,7.0,0.0,0.94,0.32,1.27,0.91,1.23,https://fbref.com/en/players/945dea33/Didier-Drogba,,,,,,,,,,2010Didier Drogba,Didier Drogba,Côte d’Ivoire,Chelsea FC,"1,68 %",2010Chelsea,0,2010Chelsea,2010CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,2010,Real Madrid,La Liga,Xabi Alonso,ESP,MF,27.0,1981.0,34.0,34.0,3010.0,33.4,3.0,3.0,2.0,1.0,1.0,11.0,0.0,0.09,0.09,0.18,0.06,0.15,https://fbref.com/en/players/dc001a06/Xabi-Alonso,,,,,,,,,,2010Xabi Alonso,Xabi Alonso,Espagne,Real Madrid,"1,52 %",2010Real Madrid,0,2010Real Madrid,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
429,2010,Barcelona,La Liga,Carles Puyol,ESP,DF,31.0,1978.0,32.0,31.0,2712.0,30.1,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.07,0.03,0.07,https://fbref.com/en/players/7c0bda9b/Carles-Puyol,,,,,,,,,,2010Carles Puyol,Carles Puyol,Espagne,FC Barcelone,"1,43 %",2010Barcelona,0,2010Barcelona,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
430,2010,Inter,Serie A,Samuel Eto'o,CMR,FW,28.0,1981.0,32.0,27.0,2495.0,27.7,12.0,5.0,10.0,2.0,2.0,5.0,0.0,0.43,0.18,0.61,0.36,0.54,https://fbref.com/en/players/06420c93/Samuel-Etoo,,,,,,,,,,2010Samuel Eto'o,Samuel Eto'o,Cameroun,Inter Milan,"1,37 %",2010Inter,0,2010Inter,2010CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,2010,Werder Bremen,Bundesliga,Mesut Özil,GER,MF,20.0,1988.0,31.0,29.0,2596.0,28.8,9.0,14.0,8.0,1.0,2.0,2.0,0.0,0.31,0.49,0.8,0.28,0.76,https://fbref.com/en/players/16380240/Mesut-Ozil,,,,,,,,,,2010Mesut Özil,Mesut Özil,Allemagne,Werder Brême Real Madrid,"1,21 %",2010Werder Bremen,0,2010Werder Bremen,2010GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,2010,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",25.0,1984.0,24.0,18.0,1778.0,19.8,16.0,5.0,14.0,2.0,2.0,1.0,0.0,0.81,0.25,1.06,0.71,0.96,https://fbref.com/en/players/09586899/Arjen-Robben,,,,,,,,,,2010Arjen Robben,Arjen Robben,Pays-Bas,Bayern Munich,"1,16 %",2010Bayern Munich,0,2010Bayern Munich,2010NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,2010,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",19.0,1989.0,34.0,29.0,2638.0,29.3,13.0,5.0,13.0,0.0,0.0,3.0,0.0,0.44,0.17,0.61,0.44,0.61,https://fbref.com/en/players/3c6089ab/Thomas-Muller,,,,,,,,,,2010Thomas Müller,Thomas Müller,Allemagne,Bayern Munich,"0,91 %",2010Bayern Munich,0,2010Bayern Munich,2010GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,2010,Bayern Munich,Bundesliga,Bastian Schweinsteiger,GER,"DF,MF",24.0,1984.0,33.0,33.0,2903.0,32.3,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.06,0.06,0.12,0.06,0.12,https://fbref.com/en/players/ccc22fea/Bastian-Schweinsteiger,,,,,,,,,,2010Bastian Schweinsteiger,Bastian Schweinsteiger,Allemagne,Bayern Munich,"0,75 %",2010Bayern Munich,0,2010Bayern Munich,2010GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,2010,Rennes,Ligue 1,Asamoah Gyan,GHA,FW,23.0,1985.0,29.0,27.0,2079.0,23.1,13.0,2.0,11.0,2.0,2.0,3.0,2.0,0.56,0.09,0.65,0.48,0.56,https://fbref.com/en/players/7f7bbbc2/Asamoah-Gyan,,,,,,,,,,2010Asamoah Gyan,Asamoah Gyan,Ghana,Stade rennais Sunderland,"0,46 %",2010Rennes,0,2010Rennes,2010GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,2010,Inter,Serie A,Júlio César,BRA,GK,29.0,1979.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f619413f/Julio-Cesar,,,,,,,,,,2010Júlio César,Júlio César,Brésil,Inter Milan,"0,22 %",2010Inter,0,2010Inter,2010BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,2010,Arsenal,Premier League,Cesc Fàbregas,ESP,"FW,MF",22.0,1987.0,27.0,26.0,2188.0,24.3,15.0,13.0,12.0,3.0,4.0,5.0,0.0,0.62,0.53,1.15,0.49,1.03,https://fbref.com/en/players/33508c78/Cesc-Fabregas,,,,,,,,,,2010Cesc Fàbregas,Cesc Fàbregas,Espagne,Arsenal,"0,22 %",2010Arsenal,0,2010Arsenal,2010ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
439,2010,Bayern Munich,Bundesliga,Miroslav Klose,GER,FW,31.0,1978.0,25.0,11.0,1078.0,12.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.25,0.17,0.42,0.25,0.42,https://fbref.com/en/players/5e36a0dd/Miroslav-Klose,,,,,,,,,,2010Miroslav Klose,Miroslav Klose,Allemagne,Bayern Munich,"0,19 %",2010Bayern Munich,0,2010Bayern Munich,2010GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2010,Barcelona,La Liga,Dani Alves,BRA,"DF,MF",26.0,1983.0,29.0,28.0,2493.0,27.7,3.0,8.0,3.0,0.0,0.0,8.0,1.0,0.11,0.29,0.4,0.11,0.4,https://fbref.com/en/players/c9e99e49/Dani-Alves,,,,,,,,,,2010Dani Alves,Dani Alves,Brésil,FC Barcelone,"0,05 %",2010Barcelona,0,2010Barcelona,2010BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,2010,Bayern Munich,Bundesliga,Philipp Lahm,GER,"DF,MF",25.0,1983.0,34.0,34.0,3060.0,34.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,https://fbref.com/en/players/de491a33/Philipp-Lahm,,,,,,,,,,2010Philipp Lahm,Philipp Lahm,Allemagne,Bayern Munich,"0,05 %",2010Bayern Munich,0,2010Bayern Munich,2010GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,2011,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",23.0,1987.0,33.0,31.0,2858.0,31.8,31.0,19.0,27.0,4.0,4.0,3.0,0.0,0.98,0.6,1.57,0.85,1.45,https://fbref.com/en/players/d70ce98e/Lionel-Messi,,,,,,,,,,2011Lionel Messi,Lionel Messi,Argentine,FC Barcelone,"47,88 %",2011Barcelona,1,2011Barcelona,2011ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,2011,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",25.0,1985.0,34.0,32.0,2914.0,32.4,40.0,9.0,32.0,8.0,8.0,2.0,0.0,1.24,0.28,1.51,0.99,1.27,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo,,,,,,,,,,2011Cristiano Ronaldo,Cristiano Ronaldo,Portugal,Real Madrid,"21,60 %",2011Real Madrid,0,2011Real Madrid,2011POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,2011,Barcelona,La Liga,Xavi,ESP,MF,30.0,1980.0,31.0,29.0,2451.0,27.2,3.0,11.0,3.0,0.0,0.0,6.0,0.0,0.11,0.4,0.51,0.11,0.51,https://fbref.com/en/players/c1b4188c/Xavi,,,,,,,,,,2011Xavi,Xavi,Espagne,FC Barcelone,"9,23 %",2011Barcelona,1,2011Barcelona,2011ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,2011,Barcelona,La Liga,Andrés Iniesta,ESP,MF,26.0,1984.0,34.0,32.0,2786.0,31.0,8.0,4.0,8.0,0.0,0.0,1.0,0.0,0.26,0.13,0.39,0.26,0.39,https://fbref.com/en/players/cfd65a29/Andres-Iniesta,,,,,,,,,,2011Andrés Iniesta,Andrés Iniesta,Espagne,FC Barcelone,"6,01 %",2011Barcelona,1,2011Barcelona,2011ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,2011,Manchester Utd,Premier League,Wayne Rooney,ENG,"FW,MF",24.0,1985.0,28.0,25.0,2225.0,24.7,11.0,11.0,8.0,3.0,4.0,5.0,0.0,0.44,0.44,0.89,0.32,0.77,https://fbref.com/en/players/f07be45a/Wayne-Rooney,,,,,,,,,,2011Wayne Rooney,Wayne Rooney,Angleterre,Manchester United,"2,31 %",2011Manchester Utd,0,2011Manchester Utd,2011ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,2011,Liverpool,Premier League,Luis Suárez,URU,FW,23.0,1987.0,13.0,12.0,1100.0,12.2,4.0,3.0,4.0,0.0,0.0,2.0,0.0,0.33,0.25,0.57,0.33,0.57,https://fbref.com/en/players/a6154613/Luis-Suarez,,,,,,,,,,2011Luis Suárez,Luis Suárez,Uruguay,AFC Ajax Liverpool FC,"1,48 %",2011Liverpool,0,2011Liverpool,2011URU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
448,2011,Atlético Madrid,La Liga,Diego Forlán,URU,"FW,MF",31.0,1979.0,32.0,23.0,2167.0,24.1,8.0,7.0,8.0,0.0,2.0,3.0,0.0,0.33,0.29,0.62,0.33,0.62,https://fbref.com/en/players/d87d0dfc/Diego-Forlan,,,,,,,,,,2011Diego Forlán,Diego Forlán,Uruguay,Atlético Madrid Inter Milan,"1,43 %",2011Atlético Madrid,0,2011Atlético Madrid,2011URU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
449,2011,Inter,Serie A,Samuel Eto'o,CMR,FW,29.0,1981.0,35.0,35.0,2954.0,32.8,21.0,8.0,16.0,5.0,6.0,3.0,0.0,0.64,0.24,0.88,0.49,0.73,https://fbref.com/en/players/06420c93/Samuel-Etoo,,,,,,,,,,2011Samuel Eto'o,Samuel Eto'o,Cameroun,Inter Milan FK Anji Makhatchkala,"1,34 %",2011Inter,0,2011Inter,2011CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,2011,Real Madrid,La Liga,Iker Casillas,ESP,GK,29.0,1981.0,35.0,35.0,3062.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1ddbb0da/Iker-Casillas,,,,,,,,,,2011Iker Casillas,Iker Casillas,Espagne,Real Madrid,"1,29 %",2011Real Madrid,0,2011Real Madrid,2011ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,2011,Barcelona,La Liga,Éric Abidal,FRA,DF,30.0,1979.0,26.0,23.0,2023.0,22.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/016828bd/Eric-Abidal,,,,,,,,,,2011Éric Abidal,Éric Abidal,France,FC Barcelone,,2011Barcelona,1,2011Barcelona,2011FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,2011,Real Madrid,La Liga,Xabi Alonso,ESP,MF,28.0,1981.0,34.0,29.0,2665.0,29.6,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.17,0.17,0.0,0.17,https://fbref.com/en/players/dc001a06/Xabi-Alonso,,,,,,,,,,2011Xabi Alonso,Xabi Alonso,Espagne,Real Madrid,,2011Real Madrid,0,2011Real Madrid,2011ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,2011,Barcelona,La Liga,Dani Alves,BRA,"DF,MF",27.0,1983.0,35.0,31.0,2905.0,32.3,2.0,14.0,2.0,0.0,0.0,10.0,0.0,0.06,0.43,0.5,0.06,0.5,https://fbref.com/en/players/c9e99e49/Dani-Alves,,,,,,,,,,2011Dani Alves,Dani Alves,Brésil,FC Barcelone,,2011Barcelona,1,2011Barcelona,2011BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
