,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Nom,Pays,Club,%,UCL_JK,won_UCL,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
43,1997,Manchester Utd,Premier League,Peter Schmeichel,DEN,GK,32.0,1963.0,36.0,36.0,3240.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/f1fe7ffe/Peter-Schmeichel,,,,,,,,,,1997Peter Schmeichel,Peter Schmeichel,Danemark,Manchester United,0.02483660130718954,1997Manchester Utd,0,1997Manchester Utd,1997DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1997,Dortmund,Bundesliga,Matthias Sammer,GER,"DF,MF",28.0,1967.0,16.0,15.0,1316.0,14.6,0.0,,0.0,0.0,,2.0,2.0,0.0,,,0.0,,https://fbref.com/en/players/d8ae851f/Matthias-Sammer,,,,,,,,,,1997Matthias Sammer,Matthias Sammer,Allemagne,Borussia Dortmund,0.02091503267973856,1997Dortmund,1,1997Dortmund,1997GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1997,Juventus,Serie A,Christian Vieri,ITA,FW,23.0,1973.0,23.0,15.0,1323.0,14.7,8.0,,8.0,0.0,,2.0,0.0,0.54,,,0.54,,https://fbref.com/en/players/1abff24a/Christian-Vieri,,,,,,,,,,1997Christian Vieri,Christian Vieri,Italie,Juventus de Turin / Atlético Madrid,0.02091503267973856,1997Juventus,0,1997Juventus,1997ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1997,Internazionale,Serie A,Youri Djorkaeff,FRA,"FW,MF",28.0,1968.0,33.0,31.0,2755.0,30.6,14.0,,9.0,5.0,,3.0,0.0,0.46,,,0.29,,https://fbref.com/en/players/e9f1bedd/Youri-Djorkaeff,,,,,,,,,,1997Youri Djorkaeff,Youri Djorkaeff,France,Inter Milan,0.0196078431372549,1997Internazionale,0,1997Internazionale,1997FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1997,Dortmund,Bundesliga,Jürgen Kohler,GER,DF,30.0,1965.0,30.0,30.0,2620.0,29.1,2.0,,2.0,0.0,,10.0,2.0,0.07,,,0.07,,https://fbref.com/en/players/06c613b9/Jurgen-Kohler,,,,,,,,,,1997Jürgen Kohler,Jürgen Kohler,Allemagne,Borussia Dortmund,0.0196078431372549,1997Dortmund,1,1997Dortmund,1997GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1997,Barcelona,La Liga,Luis Enrique,ESP,"FW,MF",26.0,1970.0,35.0,35.0,3099.0,34.4,17.0,,17.0,0.0,,11.0,0.0,0.49,,,0.49,,https://fbref.com/en/players/b9407435/Luis-Enrique,,,,,,,,,,1997Luis Enrique,Luis Enrique,Espagne,FC Barcelone,0.018300653594771243,1997Barcelona,0,1997Barcelona,1997ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1997,Barcelona,La Liga,Luís Figo,POR,"FW,MF",23.0,1972.0,36.0,34.0,2787.0,31.0,4.0,,4.0,0.0,,7.0,2.0,0.13,,,0.13,,https://fbref.com/en/players/f20f347f/Luis-Figo,,,,,,,,,,1997Luís Figo,Luís Figo,Portugal,FC Barcelone,0.01568627450980392,1997Barcelona,0,1997Barcelona,1997POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1997,Chelsea,Premier League,Gianfranco Zola,ITA,FW,30.0,1966.0,23.0,22.0,1967.0,21.9,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.37,0.41,0.78,0.37,0.78,https://fbref.com/en/players/59883773/Gianfranco-Zola,,,,,,,,,,1997Gianfranco Zola,Gianfranco Zola,Italie,Chelsea,0.01437908496732026,1997Chelsea,0,1997Chelsea,1997ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1997,Parma,Serie A,Gianfranco Zola,ITA,FW,30.0,1966.0,8.0,8.0,701.0,7.8,2.0,,2.0,0.0,,0.0,0.0,0.26,,,0.26,,https://fbref.com/en/players/59883773/Gianfranco-Zola,,,,,,,,,,1997Gianfranco Zola,Gianfranco Zola,Italie,Chelsea,0.01437908496732026,1997Parma,0,1997Parma,1997ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1997,Stuttgart,Bundesliga,Krasimir Balakov,BUL,MF,30.0,1966.0,31.0,31.0,2621.0,29.1,13.0,,9.0,4.0,,3.0,2.0,0.45,,,0.31,,https://fbref.com/en/players/7c067852/Krasimir-Balakov,,,,,,,,,,1997Krasimir Balakov,Krasimir Balakov,Bulgarie,VfB Stuttgart,0.01437908496732026,1997Stuttgart,0,1997Stuttgart,1997BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1997,Juventus,Serie A,Didier Deschamps,FRA,MF,27.0,1968.0,26.0,26.0,2312.0,25.7,1.0,,1.0,0.0,,6.0,0.0,0.04,,,0.04,,https://fbref.com/en/players/1d9b994f/Didier-Deschamps,,,,,,,,,,1997Didier Deschamps,Didier Deschamps,France,Juventus de Turin,0.013071895424836602,1997Juventus,0,1997Juventus,1997FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1997,Real Madrid,La Liga,Fernando Hierro,ESP,"DF,MF",28.0,1968.0,39.0,39.0,3473.0,38.6,6.0,,6.0,0.0,,15.0,2.0,0.16,,,0.16,,https://fbref.com/en/players/2f926dd0/Fernando-Hierro,,,,,,,,,,1997Fernando Hierro,Fernando Hierro,Espagne,Real Madrid,0.013071895424836602,1997Real Madrid,0,1997Real Madrid,1997ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1997,Real Madrid,La Liga,Clarence Seedorf,NED,MF,20.0,1976.0,38.0,37.0,3305.0,36.7,6.0,,6.0,0.0,,8.0,0.0,0.16,,,0.16,,https://fbref.com/en/players/e6af3cc7/Clarence-Seedorf,,,,,,,,,,1997Clarence Seedorf,Clarence Seedorf,Pays-Bas,Real Madrid,0.013071895424836602,1997Real Madrid,0,1997Real Madrid,1997NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1997,Juventus,Serie A,Alessandro Del Piero,ITA,"FW,MF",21.0,1974.0,22.0,18.0,1456.0,16.2,8.0,,4.0,4.0,,2.0,0.0,0.49,,,0.25,,https://fbref.com/en/players/80bc263c/Alessandro-Del-Piero,,,,,,,,,,1997Alessandro Del Piero,Alessandro Del Piero,Italie,Juventus de Turin,0.011764705882352941,1997Juventus,0,1997Juventus,1997ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1997,Newcastle Utd,Premier League,Alan Shearer,ENG,FW,25.0,1970.0,31.0,31.0,2784.0,30.9,25.0,7.0,22.0,3.0,4.0,5.0,0.0,0.81,0.23,1.03,0.71,0.94,https://fbref.com/en/players/438b3a51/Alan-Shearer,,,,,,,,,,1997Alan Shearer,Alan Shearer,Angleterre,Newcastle United,0.011764705882352941,1997Newcastle Utd,0,1997Newcastle Utd,1997ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1997,Manchester Utd,Premier League,David Beckham,ENG,MF,21.0,1975.0,36.0,33.0,2986.0,33.2,8.0,8.0,8.0,0.0,0.0,7.0,0.0,0.24,0.24,0.48,0.24,0.48,https://fbref.com/en/players/53539318/David-Beckham,,,,,,,,,,1997David Beckham,David Beckham,Angleterre,Manchester United,0.011764705882352941,1997Manchester Utd,0,1997Manchester Utd,1997ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1997,Fiorentina,Serie A,Gabriel Batistuta,ARG,FW,27.0,1969.0,32.0,32.0,2860.0,31.8,13.0,,11.0,2.0,,4.0,0.0,0.41,,,0.35,,https://fbref.com/en/players/792d83d1/Gabriel-Batistuta,,,,,,,,,,1997Gabriel Batistuta,Gabriel Batistuta,Argentine,AC Fiorentina,0.009150326797385621,1997Fiorentina,0,1997Fiorentina,1997ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1997,Schalke 04,Bundesliga,Olaf Thon,GER,"DF,MF",30.0,1966.0,33.0,32.0,2695.0,29.9,2.0,,2.0,0.0,,4.0,0.0,0.07,,,0.07,,https://fbref.com/en/players/89afc102/Olaf-Thon,,,,,,,,,,1997Olaf Thon,Olaf Thon,Allemagne,Schalke 04,0.00784313725490196,1997Schalke 04,0,1997Schalke 04,1997GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1997,Middlesbrough,Premier League,Juninho Paulista,BRA,MF,23.0,1973.0,35.0,34.0,3040.0,33.8,12.0,8.0,12.0,0.0,0.0,6.0,0.0,0.36,0.24,0.59,0.36,0.59,https://fbref.com/en/players/093373a5/Juninho-Paulista,,,,,,,,,,1997Juninho Paulista,Juninho Paulista,Brésil,Middlesborough / Atlético Madrid,0.006535947712418301,1997Middlesbrough,0,1997Middlesbrough,1997BRA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,1997,Dortmund,Bundesliga,Paulo Sousa,POR,MF,25.0,1970.0,11.0,6.0,560.0,6.2,1.0,,1.0,0.0,,1.0,0.0,0.16,,,0.16,,https://fbref.com/en/players/a1c45794/Paulo-Sousa,,,,,,,,,,1997Paulo Sousa,Paulo Sousa,Portugal,Borussia Dortmund,0.006535947712418301,1997Dortmund,1,1997Dortmund,1997POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1997,Parma,Serie A,Lilian Thuram,FRA,DF,24.0,1972.0,34.0,34.0,3060.0,34.0,1.0,,1.0,0.0,,0.0,0.0,0.03,,,0.03,,https://fbref.com/en/players/643ca22c/Lilian-Thuram,,,,,,,,,,1997Lilian Thuram,Lilian Thuram,France,Parme Football Club,0.006535947712418301,1997Parma,0,1997Parma,1997FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1997,Manchester Utd,Premier League,Ryan Giggs,WAL,"FW,MF",22.0,1973.0,26.0,25.0,2140.0,23.8,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.13,0.25,0.38,0.13,0.38,https://fbref.com/en/players/561de8d0/Ryan-Giggs,,,,,,,,,,1997Ryan Giggs,Ryan Giggs,Pays de Galles,Manchester United,0.00522875816993464,1997Manchester Utd,0,1997Manchester Utd,1997WAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1997,Udinese,Serie A,Oliver Bierhoff,GER,FW,28.0,1968.0,23.0,22.0,2012.0,22.4,13.0,,12.0,1.0,,3.0,2.0,0.58,,,0.54,,https://fbref.com/en/players/dbb8741e/Oliver-Bierhoff,,,,,,,,,,1997Oliver Bierhoff,Oliver Bierhoff,Allemagne,Udinese Calcio,0.00392156862745098,1997Udinese,0,1997Udinese,1997GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1997,Juventus,Serie A,Angelo Peruzzi,ITA,GK,26.0,1970.0,29.0,29.0,2581.0,28.7,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,https://fbref.com/en/players/bcd5e1ca/Angelo-Peruzzi,,,,,,,,,,1997Angelo Peruzzi,Angelo Peruzzi,Italie,Juventus de Turin,0.00392156862745098,1997Juventus,0,1997Juventus,1997ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
